"거래금액","시군구","도로명주소","지번주소","아파트","거래유형","건축년도","전용면적","층","월","일","경도","위도","학교","학원","병원","술집","공공기관","문화시설","카페","역최단거리","가장 가까운 역","세대수","최고층","세대당주차대수","난방방식","현관구조","방개수","욕실개수","시군구대덕구","시군구동구","시군구서구","시군구유성구","시군구중구","거래유형중개거래","거래유형직거래","난방방식개별난방","난방방식중앙난방","난방방식지역난방","현관구조계단식","현관구조복도식","현관구조복합식"
35000,"대덕구","대덕구 동춘당로114번길 60","대전시 대덕구 송촌동 461-1","선비마을3단지","중개거래",1999,84.9,18,9,13,"127.441103713951","36.3678556445006",10,152,37,72,4,1,77,1984,"대전복합터미널",1872,20,1.14,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
33000,"대덕구","대덕구 계족산로 136","대전시 대덕구 송촌동 494-1","선비마을5단지","중개거래",1999,84.88,1,9,13,"127.446263177647","36.3651246823553",6,138,26,62,4,1,66,1851,"대전복합터미널",1554,20,1.13,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
47000,"대덕구","대덕구 계족산로 135","대전시 대덕구 송촌동 462","선비마을4단지","중개거래",1999,137.43,3,9,13,"127.443848877024","36.3671722133627",10,144,23,59,3,0,67,1975,"대전복합터미널",1428,19,1.11,"개별난방","계단식",4,2,1,0,0,0,0,1,0,1,0,0,1,0,0
34500,"대덕구","대덕구 동춘당로114번길 60","대전시 대덕구 송촌동 461-1","선비마을3단지","중개거래",1999,84.9,3,9,13,"127.441103713951","36.3678556445006",10,152,37,72,4,1,77,1984,"대전복합터미널",1872,20,1.14,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
31000,"대덕구","대덕구 계족산로 135","대전시 대덕구 송촌동 462","선비마을4단지","중개거래",1999,73.56,5,9,14,"127.443848877024","36.3671722133627",10,144,23,59,3,0,67,1975,"대전복합터미널",1428,19,1.11,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
34500,"대덕구","대덕구 계족산로 136","대전시 대덕구 송촌동 494-1","선비마을5단지","중개거래",1999,84.88,14,9,14,"127.446263177647","36.3651246823553",6,138,26,62,4,1,66,1851,"대전복합터미널",1554,20,1.13,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
38300,"대덕구","대덕구 계족산로 136","대전시 대덕구 송촌동 494-1","선비마을5단지","중개거래",1999,84.88,14,9,15,"127.446263177647","36.3651246823553",6,138,26,62,4,1,66,1851,"대전복합터미널",1554,20,1.13,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
35700,"대덕구","대덕구 동춘당로114번길 47","대전시 대덕구 송촌동 444","선비마을아파트2단지","중개거래",1999,84.45,9,9,16,"127.438909331195","36.3686046683734",10,163,55,71,9,1,81,2038,"대전복합터미널",1146,20,1.15,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
69000,"대덕구","대덕구 동춘당로114번길 60","대전시 대덕구 송촌동 461-1","선비마을3단지","중개거래",1999,134.53,9,9,16,"127.441103713951","36.3678556445006",10,152,37,72,4,1,77,1984,"대전복합터미널",1872,20,1.14,"개별난방","계단식",4,2,1,0,0,0,0,1,0,1,0,0,1,0,0
23000,"대덕구","대덕구 동춘당로114번길 47","대전시 대덕구 송촌동 444","선비마을아파트2단지","중개거래",1999,59.76,10,9,20,"127.438909331195","36.3686046683734",10,163,55,71,9,1,81,2038,"대전복합터미널",1146,20,1.15,"개별난방","계단식",3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
