"거래금액","건축년도","전용면적","층","학교","학원","병원","술집","공공기관","문화시설","카페","역최단거리","세대수","최고층","세대당주차대수","방개수","욕실개수","시군구대덕구","시군구동구","시군구서구","시군구유성구","시군구중구","거래유형중개거래","거래유형직거래","난방방식개별난방","난방방식중앙난방","난방방식지역난방","현관구조계단식","현관구조복도식","현관구조복합식"
40000,2020,59.9747,16,7,80,59,63,8,4,75,2185,1503,29,1.23,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
23500,1993,84.85,12,11,149,74,75,10,2,91,2094,810,15,0.63,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
16800,1993,59.34,3,12,188,77,98,10,1,105,1833,1050,15,0.82,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
48500,2020,84.967,21,7,80,59,63,8,4,75,2185,1503,29,1.23,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
20650,1989,77.3,10,6,69,41,16,9,4,49,2691,480,15,0.5,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
28500,1993,84.93,12,12,188,77,98,10,1,105,1833,1050,15,0.82,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
29000,1995,99.36,1,9,146,73,97,8,2,103,2139,1735,15,0.99,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
52800,2020,84.9808,10,7,80,59,63,8,4,75,2185,1503,29,1.23,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
19800,1999,59.87,1,10,101,42,15,9,4,51,2577,1140,20,1.05,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
35000,1995,98.87,9,9,146,73,97,8,2,103,2139,1735,15,0.99,4,2,1,0,0,0,0,1,0,1,0,0,1,0,0
8000,1989,35.85,7,8,57,33,55,3,5,78,1969,750,15,0.46,2,1,1,0,0,0,0,0,1,1,0,0,0,1,0
12600,1989,54.225,5,8,57,33,55,3,5,78,1969,750,15,0.46,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
17500,1993,83.99,3,8,74,40,120,3,7,145,1137,104,9,0.67,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
16000,1994,59.4,15,5,50,21,30,2,3,50,1817,425,17,0.68,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
27000,1994,84.9,11,5,50,21,30,2,3,50,1817,425,17,0.68,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
30000,2006,84.9097,1,7,81,38,58,6,6,133,984,646,25,1.09,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
30000,2006,84.9881,20,7,81,38,58,6,6,133,984,646,25,1.09,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
38000,2006,84.9097,6,7,81,38,58,6,6,133,984,646,25,1.09,3,2,1,0,0,0,0,0,1,1,0,0,1,0,0
18300,1986,84.84,1,6,57,24,32,4,3,57,1692,370,15,0.7,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
18000,2006,84.83,2,6,71,41,54,3,1,85,10950,19,8,1.05,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
33800,2012,84.956,29,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
30000,2020,59.9983,21,5,70,36,45,2,0,70,11527,835,33,1.2,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
36000,2020,84.9908,2,5,70,36,45,2,0,70,11527,835,33,1.2,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
43000,2012,118.307,30,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,0,1,0,0,1,1,0,0
34500,2020,77.99,10,5,70,36,45,2,0,70,11527,835,33,1.2,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
33500,2012,84.588,23,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
41000,2012,117.388,10,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
46000,2012,117.388,36,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
39600,2020,84.9918,12,5,70,36,45,2,0,70,11527,835,33,1.2,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
29200,2017,59.9486,2,4,58,39,42,2,0,66,11455,765,25,1.18,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
31500,2012,84.588,6,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
12750,1995,59.94,3,6,61,42,53,3,1,85,10759,302,17,0.58,3,1,1,0,0,0,0,1,0,1,0,0,0,1,0
31500,2012,84.956,2,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
30000,2012,64.169,27,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
33500,2012,84.588,9,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
32500,2020,77.99,22,5,70,36,45,2,0,70,11527,835,33,1.2,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
12600,1995,59.94,12,6,61,42,53,3,1,85,10759,302,17,0.58,3,1,1,0,0,0,0,1,0,1,0,0,0,1,0
32000,2020,59.9983,21,5,70,36,45,2,0,70,11527,835,33,1.2,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
46500,2012,118.307,31,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
33300,2012,84.956,30,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
35700,2020,77.99,11,5,70,36,45,2,0,70,11527,835,33,1.2,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
30000,2012,64.428,1,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,0,1,0,0,1,1,0,0
40500,2020,84.9918,18,5,70,36,45,2,0,70,11527,835,33,1.2,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
11500,1992,59.97,2,8,77,42,56,3,1,86,10707,128,14,1,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
30300,2017,59.9486,21,4,58,39,42,2,0,66,11455,765,25,1.18,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
29000,2012,64.169,26,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
44500,2012,141.366,9,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
37500,2020,84.9918,10,5,70,36,45,2,0,70,11527,835,33,1.2,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
17300,1999,59.96,3,5,44,8,8,3,1,23,10697,456,15,1.06,3,1,1,0,0,0,0,1,0,0,0,1,1,0,0
17400,1999,59.96,9,5,44,8,8,3,1,23,10697,456,15,1.06,3,1,1,0,0,0,0,1,0,0,0,1,1,0,0
18000,2011,59.9788,9,6,61,18,21,3,2,46,10584,199,15,1,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
5900,1998,41.87,2,6,68,43,56,5,1,83,10688,250,15,0.7,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0
6900,1998,34.58,9,6,68,43,56,5,1,83,10688,250,15,0.7,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0
7000,1998,41.87,14,6,68,43,56,5,1,83,10688,250,15,0.7,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0
6200,1998,41.87,3,6,68,43,56,5,1,83,10688,250,15,0.7,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0
22000,2000,84.69,19,4,38,28,37,3,1,61,10174,292,25,1.03,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
16000,2003,84.745,4,6,68,41,57,6,1,84,10610,19,7,1.05,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
32500,2011,101.6236,11,2,13,7,20,2,1,33,9809,589,20,1.43,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
28500,2011,84.5087,11,2,13,7,20,2,1,33,9809,589,20,1.43,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
23000,1996,84.82,6,4,29,29,36,1,1,52,11169,300,15,0.63,3,2,1,0,0,0,0,0,1,1,0,0,1,0,0
35000,2021,68.0737,28,7,54,33,41,2,1,63,11462,1757,43,1.3,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
21200,1994,94.77,2,4,29,29,37,1,1,51,11354,308,15,1.48,4,2,1,0,0,0,0,1,0,1,0,0,1,0,0
44300,2021,84.9842,14,7,54,33,41,2,1,63,11462,1757,43,1.3,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
9000,1992,59.45,13,4,38,32,46,3,1,63,10622,96,14,0.66,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
34700,2021,68.0737,31,7,54,33,41,2,1,63,11462,1757,43,1.3,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
39500,2021,77.3134,37,7,54,33,41,2,1,63,11462,1757,43,1.3,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
11000,2004,54.78,8,8,75,42,50,2,2,78,11044,191,15,0.65,3,1,1,0,0,0,0,1,0,1,0,0,0,1,0
24500,1996,84.82,5,4,29,29,36,1,1,52,11169,300,15,0.63,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
41000,2021,77.0917,15,7,54,33,41,2,1,63,11462,1757,43,1.3,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
40300,2021,77.0917,26,7,54,33,41,2,1,63,11462,1757,43,1.3,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
31000,1999,117.31,5,4,19,17,13,4,5,38,2284,548,20,0.88,4,2,1,0,0,0,0,1,0,0,1,0,1,0,0
22500,2007,59.8851,11,6,19,16,6,4,2,21,2143,201,15,1.05,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
13500,1996,59.67,11,10,23,10,55,4,6,85,1582,200,12,0.78,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
7300,2001,35.8818,12,5,34,23,40,4,3,53,2310,423,14,0.74,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
6700,2001,32.3658,7,5,34,23,40,4,3,53,2310,423,14,0.74,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
19000,1991,84.96,14,1,20,12,3,8,3,16,3304,1344,18,0.48,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
15000,1987,39.72,1,2,8,4,4,0,0,6,5658,540,5,0.8,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0
21000,1994,84.99,10,2,8,4,4,0,0,6,5828,656,18,0.64,3,2,1,0,0,0,0,1,0,0,1,0,0,1,0
22500,1999,59.61,13,10,144,23,59,3,0,67,1975,1428,19,1.11,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0
40000,1999,84.9,9,10,152,37,72,4,1,77,1984,1872,20,1.14,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
25000,1999,59.82,19,10,163,55,71,9,1,81,2038,1146,20,1.15,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
32200,1999,84.91,5,10,144,23,59,3,0,67,1975,1428,19,1.11,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
23000,1999,59.76,5,10,163,55,71,9,1,81,2038,1146,20,1.15,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
24200,1999,59.82,10,10,152,37,72,4,1,77,1984,1872,20,1.14,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
28000,1999,75.63,14,6,138,26,62,4,1,66,1851,1554,20,1.13,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
24800,1999,59.94,15,10,152,37,72,4,1,77,1984,1872,20,1.14,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
24100,1999,59.76,4,10,163,55,71,9,1,81,2038,1146,20,1.15,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
24800,1999,59.94,12,10,152,37,72,4,1,77,1984,1872,20,1.14,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
58500,1999,118.09,7,10,152,37,72,4,1,77,1984,1872,20,1.14,4,2,1,0,0,0,0,1,0,1,0,0,1,0,0
25750,1999,59.76,8,10,163,55,71,9,1,81,2038,1146,20,1.15,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
37700,1999,84.9,13,10,152,37,72,4,1,77,1984,1872,20,1.14,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
35700,1999,84.9,18,10,152,37,72,4,1,77,1984,1872,20,1.14,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
24000,1999,59.94,11,10,152,37,72,4,1,77,1984,1872,20,1.14,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
32000,1999,84.91,11,10,144,23,59,3,0,67,1975,1428,19,1.11,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
30500,1999,84.89,14,10,101,42,15,9,4,51,2577,1140,20,1.05,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
19000,1990,84.88,6,4,48,33,3,9,3,29,2911,600,15,0.7,3,2,1,0,0,0,0,0,1,1,0,0,1,0,0
16700,1993,59.34,14,12,188,77,98,10,1,105,1833,1050,15,0.82,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
34000,1995,98.87,14,9,146,73,97,8,2,103,2139,1735,15,0.99,4,2,1,0,0,0,0,1,0,1,0,0,1,0,0
20000,1989,77.3,11,6,69,41,16,9,4,49,2691,480,15,0.5,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
28000,1995,83.25,5,9,146,73,97,8,2,103,2139,1735,15,0.99,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
20000,1993,84.85,1,11,149,74,75,10,2,91,2094,810,15,0.63,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
22500,1999,59.87,8,10,101,42,15,9,4,51,2577,1140,20,1.05,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
27500,1993,84.93,10,12,188,77,98,10,1,105,1833,1050,15,0.82,3,2,1,0,0,0,0,0,1,1,0,0,1,0,0
25500,1993,84.93,12,12,188,77,98,10,1,105,1833,1050,15,0.82,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
20000,1990,74.005,5,4,48,33,3,9,3,29,2911,600,15,0.7,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
33000,1995,99.36,8,9,146,73,97,8,2,103,2139,1735,15,0.99,3,2,1,0,0,0,0,0,1,1,0,0,1,0,0
44000,2020,74.9979,16,7,80,59,63,8,4,75,2185,1503,29,1.23,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
